#TYPE Selected.System.IO.FileInfo
"FullName","CreationTime","LastWriteTime","Length","Owner"
"C:\Riot Games\League of Legends\Game\D3DCompiler_43.dll","9/24/2019 7:45:27 PM","9/24/2019 7:45:27 PM","2106216","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\D3DCompiler_47.dll","8/5/2020 7:03:07 PM","11/25/2020 7:12:13 PM","3550208","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Game\DATA","9/24/2019 7:45:27 PM","9/24/2019 7:45:27 PM",,"BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL","9/24/2019 7:45:27 PM","3/3/2021 6:48:44 PM",,"BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Bootstrap.windows.wad.client","3/1/2021 6:10:54 PM","2/16/2022 6:28:14 PM","42210753","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions","9/24/2019 7:45:28 PM","2/16/2022 6:28:23 PM",,"BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Aatrox.en_US.wad.client","9/24/2019 7:45:28 PM","12/13/2021 6:16:52 PM","59480697","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Aatrox.wad.client","9/24/2019 7:45:35 PM","2/16/2022 6:28:14 PM","51842550","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Ahri.en_US.wad.client","9/24/2019 7:45:36 PM","12/13/2021 6:16:52 PM","14506120","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Ahri.wad.client","9/24/2019 7:45:36 PM","2/16/2022 6:28:14 PM","82335918","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Akali.en_US.wad.client","9/24/2019 7:45:43 PM","12/13/2021 6:16:52 PM","12182470","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Akali.wad.client","9/24/2019 7:45:43 PM","2/16/2022 6:28:14 PM","74776969","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Akshan.en_US.wad.client","7/22/2021 11:13:45 PM","12/13/2021 6:16:52 PM","3780190","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Akshan.wad.client","7/22/2021 11:13:45 PM","2/16/2022 6:28:14 PM","28513654","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Alistar.en_US.wad.client","9/24/2019 7:45:48 PM","12/13/2021 6:16:52 PM","336797","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Alistar.wad.client","9/24/2019 7:45:48 PM","2/16/2022 6:28:14 PM","29243065","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Amumu.en_US.wad.client","9/24/2019 7:45:48 PM","2/2/2022 10:55:01 PM","1131456","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Amumu.wad.client","9/24/2019 7:45:48 PM","2/16/2022 6:28:14 PM","36427294","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Anivia.en_US.wad.client","9/24/2019 7:45:48 PM","12/13/2021 6:16:53 PM","6426946","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Anivia.wad.client","9/24/2019 7:45:48 PM","2/16/2022 6:28:14 PM","48328675","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Annie.en_US.wad.client","9/24/2019 7:45:48 PM","2/16/2022 6:28:14 PM","759709","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Annie.wad.client","9/24/2019 7:45:48 PM","2/16/2022 6:28:14 PM","55312038","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Aphelios.en_US.wad.client","12/11/2019 12:12:45 PM","12/13/2021 6:16:53 PM","12663813","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Aphelios.wad.client","12/11/2019 12:12:47 PM","2/16/2022 6:28:14 PM","28539771","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Ashe.en_US.wad.client","9/24/2019 7:45:49 PM","12/13/2021 6:16:53 PM","24233543","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Ashe.wad.client","9/24/2019 7:45:49 PM","2/16/2022 6:28:14 PM","56470527","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\AurelionSol.en_US.wad.client","9/24/2019 7:45:51 PM","12/13/2021 6:16:53 PM","21160054","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\AurelionSol.wad.client","9/24/2019 7:45:54 PM","2/16/2022 6:28:14 PM","44388442","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Azir.en_US.wad.client","9/24/2019 7:45:56 PM","12/13/2021 6:16:53 PM","7825985","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Azir.wad.client","9/24/2019 7:45:57 PM","2/16/2022 6:28:14 PM","40264191","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Bard.en_US.wad.client","9/24/2019 7:46:00 PM","12/13/2021 6:16:53 PM","2907883","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Bard.wad.client","9/24/2019 7:46:00 PM","2/16/2022 6:28:14 PM","47574421","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Blitzcrank.en_US.wad.client","9/24/2019 7:46:02 PM","2/16/2022 6:28:14 PM","7731749","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Blitzcrank.wad.client","9/24/2019 7:46:02 PM","2/16/2022 6:28:14 PM","49500221","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Brand.en_US.wad.client","9/24/2019 7:46:04 PM","12/13/2021 6:16:53 PM","4514869","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Brand.wad.client","9/24/2019 7:46:04 PM","2/16/2022 6:28:15 PM","43551339","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Braum.en_US.wad.client","9/24/2019 7:46:05 PM","12/13/2021 6:16:54 PM","5193629","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Braum.wad.client","9/24/2019 7:46:06 PM","2/16/2022 6:28:15 PM","52897678","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Caitlyn.en_US.wad.client","9/24/2019 7:46:08 PM","1/5/2022 7:02:11 PM","12955899","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Caitlyn.wad.client","9/24/2019 7:46:09 PM","2/16/2022 6:28:15 PM","56737483","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Camille.en_US.wad.client","9/24/2019 7:46:11 PM","12/13/2021 6:16:54 PM","29776122","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Camille.wad.client","9/24/2019 7:46:13 PM","2/16/2022 6:28:15 PM","23606875","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Cassiopeia.en_US.wad.client","9/24/2019 7:46:15 PM","12/13/2021 6:16:54 PM","10306876","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Cassiopeia.wad.client","9/24/2019 7:46:15 PM","2/16/2022 6:28:15 PM","37565125","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Chogath.en_US.wad.client","9/24/2019 7:46:17 PM","12/13/2021 6:16:54 PM","4511512","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Chogath.wad.client","9/24/2019 7:46:17 PM","2/16/2022 6:28:15 PM","28892960","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Corki.en_US.wad.client","9/24/2019 7:46:19 PM","12/13/2021 6:16:54 PM","1420854","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Corki.wad.client","9/24/2019 7:46:19 PM","2/16/2022 6:28:15 PM","27861550","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Darius.en_US.wad.client","9/24/2019 7:46:21 PM","2/2/2022 10:55:01 PM","14337995","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Darius.wad.client","9/24/2019 7:46:21 PM","2/16/2022 6:28:15 PM","52771201","BUILTIN\Administrators"
